source,packId,phase,ply,spineDepth,mainLine,pieceCount,legalCount,band,since,until,speeds,total,white,draws,black,movesGE100,movesGE400,topMoves,fen
main,anti-caro-advance-early-c5,opening,9,3,True,31,31,1600,2024-01,2026-07,blitz+rapid+classical,49595,23312,1939,24344,5,4,Bg4:41980:19531/1652/20797;e6:5449:2674/223/2552;Bf5:1059:515/27/517;Qa5+:726:409/27/290;a6:179:84/3/92;d4:43:15/1/27;a5:36:17/1/18;Qc7:35:17/1/17;Nxe5:20:15/0/5;g6:18:13/1/4;f6:12:6/0/6;Be6:9:4/1/4,r1bqkbnr/pp2pppp/2n5/2PpP3/8/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 5
main,anti-caro-advance-early-c5,opening,9,3,True,31,31,1800,2024-01,2026-07,blitz+rapid+classical,49194,24947,2040,22207,5,4,Bg4:41354:20910/1715/18729;e6:5769:2920/233/2616;Bf5:871:468/36/367;Qa5+:739:404/37/298;a6:171:96/6/69;Qc7:82:41/7/34;d4:80:34/4/42;a5:42:19/2/21;g6:24:13/0/11;Bd7:17:11/0/6;Nxe5:11:11/0/0;h6:7:2/0/5,r1bqkbnr/pp2pppp/2n5/2PpP3/8/5N2/PPP2PPP/RNBQKB1R b KQkq - 2 5
main,anti-caro-advance-early-c5,opening,10,4,True,31,36,1400,2024-01,2026-07,blitz+rapid+classical,53237,23632,1977,27628,12,10,Be2:13828:5587/554/7687;Bb5:11383:5209/428/5746;Bf4:8652:3397/332/4923;h3:7131:3147/263/3721;c3:3658:2439/87/1132;Nc3:2661:1152/107/1402;Nbd2:1859:838/72/949;Be3:1249:598/39/612;a3:559:277/21/261;Qe2:453:187/22/244;Qd3:380:175/9/196;c4:311:161/11/139,r2qkbnr/pp2pppp/2n5/2PpP3/6b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 3 6
main,anti-caro-advance-early-c5,opening,10,4,True,31,36,1600,2024-01,2026-07,blitz+rapid+classical,46034,21498,1799,22737,12,9,Bb5:11285:5251/434/5600;Be2:9384:3709/435/5240;Bf4:8309:3258/352/4699;c3:6941:4731/179/2031;h3:3533:1508/152/1873;Nc3:1730:738/56/936;Nbd2:1610:758/69/783;Be3:1126:577/49/500;a3:567:274/24/269;e6:294:134/5/155;c4:285:147/13/125;Qe2:240:101/10/129,r2qkbnr/pp2pppp/2n5/2PpP3/6b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 3 6
main,anti-caro-advance-early-c5,opening,10,4,True,31,36,1800,2024-01,2026-07,blitz+rapid+classical,43651,22161,1808,19682,12,9,Bb5:12498:6029/561/5908;c3:12147:8191/377/3579;Bf4:7149:2768/316/4065;Be2:6036:2396/310/3330;h3:1271:523/54/694;Nc3:1164:504/53/607;Be3:885:541/25/319;Nbd2:739:335/37/367;a3:636:355/22/259;c4:297:163/16/118;Bd3:245:117/10/118;e6:235:102/11/122,r2qkbnr/pp2pppp/2n5/2PpP3/6b1/5N2/PPP2PPP/RNBQKB1R w KQkq - 3 6
main,anti-caro-advance-early-c5,opening,11,5,True,31,36,1400,2024-01,2026-07,blitz+rapid+classical,7835,4529,241,3065,3,3,e6:4954:2639/159/2156;Nxe5:2148:1506/50/592;Bxf3:586:295/25/266;a5:74:46/1/27;a6:50:28/4/18;Qa5:10:6/1/3;d4:5:5/0/0;Qc7:2:0/1/1;g6:2:1/0/1;f6:2:1/0/1;Bh5:1:1/0/0;Qd7:1:1/0/0,r2qkbnr/pp2pppp/2n5/2PpP3/6b1/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 6
main,anti-caro-advance-early-c5,opening,11,5,True,31,36,1600,2024-01,2026-07,blitz+rapid+classical,11987,7400,368,4219,5,3,e6:6675:3710/235/2730;Nxe5:3704:2877/68/759;Bxf3:1242:613/49/580;a5:237:137/5/95;a6:100:51/9/40;Qa5:7:3/0/4;Qc7:6:2/0/4;d4:6:2/1/3;Rc8:3:1/0/2;g6:2:1/0/1;f6:2:2/0/0;Rb8:1:1/0/0,r2qkbnr/pp2pppp/2n5/2PpP3/6b1/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 6
main,anti-caro-advance-early-c5,opening,11,5,True,31,36,1800,2024-01,2026-07,blitz+rapid+classical,17006,10940,541,5525,5,4,e6:9599:5695/337/3567;Nxe5:4364:3650/75/639;Bxf3:2327:1186/111/1030;a5:508:302/8/198;a6:176:90/9/77;Qc7:8:3/0/5;Qa5:7:5/0/2;g6:4:3/0/1;d4:3:0/0/3;b6:2:1/1/0;Be6:2:2/0/0;Bc8:1:0/0/1,r2qkbnr/pp2pppp/2n5/2PpP3/6b1/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 6
main,anti-caro-advance-early-c5,opening,12,6,True,31,36,1400,2024-01,2026-07,blitz+rapid+classical,5049,2687,163,2199,6,5,Be3:1549:954/45/550;b4:1486:843/50/593;Bb5:503:248/11/244;Be2:484:188/13/283;h3:475:193/20/262;Bf4:240:100/12/128;Nbd2:93:48/5/40;Qa4:73:45/3/25;Bg5:34:13/2/19;Bd3:27:15/0/12;c4:22:10/0/12;a3:15:3/1/11,r2qkbnr/pp3ppp/2n1p3/2PpP3/6b1/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 7
main,anti-caro-advance-early-c5,opening,12,6,True,31,36,1600,2024-01,2026-07,blitz+rapid+classical,6827,3810,236,2781,8,5,Be3:2334:1529/81/724;b4:2096:1181/70/845;Bb5:816:444/27/345;Be2:527:201/22/304;Bf4:385:136/16/233;h3:309:140/14/155;Nbd2:119:58/2/59;Qa4:118:58/1/59;Bd3:53:29/1/23;Bg5:22:8/0/14;a3:18:9/1/8;Qd3:7:4/0/3,r2qkbnr/pp3ppp/2n1p3/2PpP3/6b1/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 7
